PDBId,FileName,gz,cif,Comment
3A4R,3A4R.cif.gz,true,true,1A100RXray.txt
3AGN,3AGN.cif.gz,true,true,1A100RXray.txt
3AGO,3AGO.cif.gz,true,true,1A100RXray.txt
3AJ4,3AJ4.cif.gz,true,true,1A100RXray.txt
3AKQ,3AKQ.cif.gz,true,true,1A100RXray.txt
3AKS,3AKS.cif.gz,true,true,1A100RXray.txt
3AKT,3AKT.cif.gz,true,true,1A100RXray.txt
3AUB,3AUB.cif.gz,true,true,1A100RXray.txt
3B3R,3B3R.cif.gz,true,true,1A100RXray.txt
3BCJ,3BCJ.cif.gz,true,true,1A100RXray.txt
3BOI,3BOI.cif.gz,true,true,1A100RXray.txt
3C78,3C78.cif.gz,true,true,1A100RXray.txt
3CCD,3CCD.cif.gz,true,true,1A100RXray.txt
3CNJ,3CNJ.cif.gz,true,true,1A100RXray.txt
3D1P,3D1P.cif.gz,true,true,1A100RXray.txt
3D43,3D43.cif.gz,true,true,1A100RXray.txt
3DHA,3DHA.cif.gz,true,true,1A100RXray.txt
3DJJ,3DJJ.cif.gz,true,true,1A100RXray.txt
3DJK,3DJK.cif.gz,true,true,1A100RXray.txt
3DK9,3DK9.cif.gz,true,true,1A100RXray.txt
3DW3,3DW3.cif.gz,true,true,1A100RXray.txt
3DWE,3DWE.cif.gz,true,true,1A100RXray.txt
3E4G,3E4G.cif.gz,true,true,1A100RXray.txt
3EA6,3EA6.cif.gz,true,true,1A100RXray.txt
3EO6,3EO6.cif.gz,true,true,1A100RXray.txt
3F1L,3F1L.cif.gz,true,true,1A100RXray.txt
3F7L,3F7L.cif.gz,true,true,1A100RXray.txt
3FIL,3FIL.cif.gz,true,true,1A100RXray.txt
3FSA,3FSA.cif.gz,true,true,1A100RXray.txt
3FX5,3FX5.cif.gz,true,true,1A100RXray.txt
3FYM,3FYM.cif.gz,true,true,1A100RXray.txt
3G46,3G46.cif.gz,true,true,1A100RXray.txt
3G9X,3G9X.cif.gz,true,true,1A100RXray.txt
3GHR,3GHR.cif.gz,true,true,1A100RXray.txt
3GHS,3GHS.cif.gz,true,true,1A100RXray.txt
3GYI,3GYI.cif.gz,true,true,1A100RXray.txt
3GYJ,3GYJ.cif.gz,true,true,1A100RXray.txt
3HGP,3HGP.cif.gz,true,true,1A100RXray.txt
3I2Y,3I2Y.cif.gz,true,true,1A100RXray.txt
3I30,3I30.cif.gz,true,true,1A100RXray.txt
3I34,3I34.cif.gz,true,true,1A100RXray.txt
3I37,3I37.cif.gz,true,true,1A100RXray.txt
3IP0,3IP0.cif.gz,true,true,1A100RXray.txt
3JU4,3JU4.cif.gz,true,true,1A100RXray.txt
3JUD,3JUD.cif.gz,true,true,1A100RXray.txt
3JYO,3JYO.cif.gz,true,true,1A100RXray.txt
3K34,3K34.cif.gz,true,true,1A100RXray.txt
3KFF,3KFF.cif.gz,true,true,1A100RXray.txt
3KLR,3KLR.cif.gz,true,true,1A100RXray.txt
3KS3,3KS3.cif.gz,true,true,1A100RXray.txt
3L8W,3L8W.cif.gz,true,true,1A100RXray.txt
3LEP,3LEP.cif.gz,true,true,1A100RXray.txt
3LL1,3LL1.cif.gz,true,true,1A100RXray.txt
3LZ3,3LZ3.cif.gz,true,true,1A100RXray.txt
3LZ5,3LZ5.cif.gz,true,true,1A100RXray.txt
3LZT,3LZT.cif.gz,true,true,1A100RXray.txt
3M4H,3M4H.cif.gz,true,true,1A100RXray.txt
3MFJ,3MFJ.cif.gz,true,true,1A100RXray.txt
3MI4,3MI4.cif.gz,true,true,1A100RXray.txt
3NE0,3NE0.cif.gz,true,true,1A100RXray.txt
3NED,3NED.cif.gz,true,true,1A100RXray.txt
3NOQ,3NOQ.cif.gz,true,true,1A100RXray.txt
3O4P,3O4P.cif.gz,true,true,1A100RXray.txt
3O5P,3O5P.cif.gz,true,true,1A100RXray.txt
3O5Q,3O5Q.cif.gz,true,true,1A100RXray.txt
3O5R,3O5R.cif.gz,true,true,1A100RXray.txt
3P8J,3P8J.cif.gz,true,true,1A100RXray.txt
3PYP,3PYP.cif.gz,true,true,1A100RXray.txt
3Q46,3Q46.cif.gz,true,true,1A100RXray.txt
3QL9,3QL9.cif.gz,true,true,1A100RXray.txt
3QM5,3QM5.cif.gz,true,true,1A100RXray.txt
3QM6,3QM6.cif.gz,true,true,1A100RXray.txt
3QM7,3QM7.cif.gz,true,true,1A100RXray.txt
3QM8,3QM8.cif.gz,true,true,1A100RXray.txt
3QM9,3QM9.cif.gz,true,true,1A100RXray.txt
3QMA,3QMA.cif.gz,true,true,1A100RXray.txt
3QPA,3QPA.cif.gz,true,true,1A100RXray.txt
3QPC,3QPC.cif.gz,true,true,1A100RXray.txt
3QR7,3QR7.cif.gz,true,true,1A100RXray.txt
3RCG,3RCG.cif.gz,true,true,1A100RXray.txt
3RQ9,3RQ9.cif.gz,true,true,1A100RXray.txt
3RWN,3RWN.cif.gz,true,true,1A100RXray.txt
3RY2,3RY2.cif.gz,true,true,1A100RXray.txt
3S6E,3S6E.cif.gz,true,true,1A100RXray.txt
3SOJ,3SOJ.cif.gz,true,true,1A100RXray.txt
3U2C,3U2C.cif.gz,true,true,1A100RXray.txt
3U3H,3U3H.cif.gz,true,true,1A100RXray.txt
3U7C,3U7C.cif.gz,true,true,1A100RXray.txt
3U7Q,3U7Q.cif.gz,true,true,1A100RXray.txt
3UC7,3UC7.cif.gz,true,true,1A100RXray.txt
3UI4,3UI4.cif.gz,true,true,1A100RXray.txt
3UI6,3UI6.cif.gz,true,true,1A100RXray.txt
3VHG,3VHG.cif.gz,true,true,1A100RXray.txt
3VIF,3VIF.cif.gz,true,true,1A100RXray.txt
3VIG,3VIG.cif.gz,true,true,1A100RXray.txt
3VII,3VII.cif.gz,true,true,1A100RXray.txt
3VJQ,3VJQ.cif.gz,true,true,1A100RXray.txt
3VLA,3VLA.cif.gz,true,true,1A100RXray.txt
3VN3,3VN3.cif.gz,true,true,1A100RXray.txt
3VOR,3VOR.cif.gz,true,true,1A100RXray.txt
3VRC,3VRC.cif.gz,true,true,1A100RXray.txt
3W5H,3W5H.cif.gz,true,true,1A100RXray.txt
3W7Y,3W7Y.cif.gz,true,true,1A100RXray.txt
3W7Z,3W7Z.cif.gz,true,true,1A100RXray.txt
3W80,3W80.cif.gz,true,true,1A100RXray.txt
3W8F,3W8F.cif.gz,true,true,1A100RXray.txt
3WDN,3WDN.cif.gz,true,true,1A100RXray.txt
3WGE,3WGE.cif.gz,true,true,1A100RXray.txt
3WGX,3WGX.cif.gz,true,true,1A100RXray.txt
3WL2,3WL2.cif.gz,true,true,1A100RXray.txt
3WOU,3WOU.cif.gz,true,true,1A100RXray.txt
3WVM,3WVM.cif.gz,true,true,1A100RXray.txt
3WYQ,3WYQ.cif.gz,true,true,1A100RXray.txt
3X0I,3X0I.cif.gz,true,true,1A100RXray.txt
