PDBId,FileName
2wqf,2wqf.cif.gz
3lyf,3lyf.cif.gz
3cyq,3cyq.cif.gz
4zse,4zse.cif.gz
2grh,2grh.cif.gz
5hvu,5hvu.cif.gz
4qbn,4qbn.cif.gz
1to5,1to5.cif.gz
1sbg,1sbg.cif.gz
1tsl,1tsl.cif.gz
3tim,3tim.cif.gz
4icd,4icd.cif.gz
1vq2,1vq2.cif.gz
2g8d,2g8d.cif.gz
1nxp,1nxp.cif.gz
1yci,1yci.cif.gz
3evt,3evt.cif.gz
3kbx,3kbx.cif.gz
3u7a,3u7a.cif.gz
4tqd,4tqd.cif.gz
1v5h,1v5h.cif.gz
4ld8,4ld8.cif.gz
1kmk,1kmk.cif.gz
3w87,3w87.cif.gz
3smq,3smq.cif.gz
1vzh,1vzh.cif.gz
6ffm,6ffm.cif.gz
2iog,2iog.cif.gz
4bt6,4bt6.cif.gz
5yb9,5yb9.cif.gz
1jqv,1jqv.cif.gz
3kd9,3kd9.cif.gz
3p4e,3p4e.cif.gz
3l1e,3l1e.cif.gz
3lr3,3lr3.cif.gz
4ttv,4ttv.cif.gz
4tty,4tty.cif.gz
3pj0,3pj0.cif.gz
4jc2,4jc2.cif.gz
1yjy,1yjy.cif.gz
4d74,4d74.cif.gz
1v70,1v70.cif.gz
6ew7,6ew7.cif.gz
4l0n,4l0n.cif.gz
1w5y,1w5y.cif.gz
4icr,4icr.cif.gz
3acc,3acc.cif.gz
3ec0,3ec0.cif.gz
4kvw,4kvw.cif.gz
1mqj,1mqj.cif.gz
2hre,2hre.cif.gz
2f9k,2f9k.cif.gz
4wqq,4wqq.cif.gz
3sw1,3sw1.cif.gz
4gew,4gew.cif.gz
3wzf,3wzf.cif.gz
1qh9,1qh9.cif.gz
1vc1,1vc1.cif.gz
5hym,5hym.cif.gz
2opm,2opm.cif.gz
4iwt,4iwt.cif.gz
4dec,4dec.cif.gz
4iy0,4iy0.cif.gz
4m54,4m54.cif.gz
2qmy,2qmy.cif.gz
4xyb,4xyb.cif.gz
5qjb,5qjb.cif.gz
4yq4,4yq4.cif.gz
2it9,2it9.cif.gz
5mis,5mis.cif.gz
6aa1,6aa1.cif.gz
4q1r,4q1r.cif.gz
4ou4,4ou4.cif.gz
4ymz,4ymz.cif.gz
2qg0,2qg0.cif.gz
5gjn,5gjn.cif.gz
5g2s,5g2s.cif.gz
5ur5,5ur5.cif.gz
4jtm,4jtm.cif.gz
2z76,2z76.cif.gz
2vw8,2vw8.cif.gz
1v4i,1v4i.cif.gz
4bfx,4bfx.cif.gz
1wbf,1wbf.cif.gz
1ore,1ore.cif.gz
4yx9,4yx9.cif.gz
2rb7,2rb7.cif.gz
3vgu,3vgu.cif.gz
3od0,3od0.cif.gz
3snz,3snz.cif.gz
2hk2,2hk2.cif.gz
6ce2,6ce2.cif.gz
2as0,2as0.cif.gz
1sfy,1sfy.cif.gz
4v1p,4v1p.cif.gz
3g7e,3g7e.cif.gz
5t4k,5t4k.cif.gz
3box,3box.cif.gz
2q7g,2q7g.cif.gz
3s7p,3s7p.cif.gz
4ryp,4ryp.cif.gz
4pxb,4pxb.cif.gz
3hde,3hde.cif.gz
4ut4,4ut4.cif.gz
2w0l,2w0l.cif.gz
5d81,5d81.cif.gz
4a00,4a00.cif.gz
1usm,1usm.cif.gz
2ims,2ims.cif.gz
3clo,3clo.cif.gz
5kf2,5kf2.cif.gz
1zxy,1zxy.cif.gz
5jx1,5jx1.cif.gz
6ab0,6ab0.cif.gz
1r2k,1r2k.cif.gz
4cj4,4cj4.cif.gz
4l1c,4l1c.cif.gz
1sw0,1sw0.cif.gz
1rka,1rka.cif.gz
4oy3,4oy3.cif.gz
5tgq,5tgq.cif.gz
4gw6,4gw6.cif.gz
2xj9,2xj9.cif.gz
1siz,1siz.cif.gz
1nlr,1nlr.cif.gz
3wjr,3wjr.cif.gz
5gs3,5gs3.cif.gz
3dgo,3dgo.cif.gz
3x0j,3x0j.cif.gz
5vgp,5vgp.cif.gz
2xrm,2xrm.cif.gz
5vl0,5vl0.cif.gz
2p5c,2p5c.cif.gz
4nc8,4nc8.cif.gz
1iup,1iup.cif.gz
5x7f,5x7f.cif.gz
5djr,5djr.cif.gz
3uht,3uht.cif.gz
3bm6,3bm6.cif.gz
5ces,5ces.cif.gz
5qj5,5qj5.cif.gz
5j6l,5j6l.cif.gz
1wzi,1wzi.cif.gz
1ix1,1ix1.cif.gz
1xuq,1xuq.cif.gz
5xrj,5xrj.cif.gz
2h29,2h29.cif.gz
5mit,5mit.cif.gz
2ye3,2ye3.cif.gz
3stq,3stq.cif.gz
5yrm,5yrm.cif.gz
3v9m,3v9m.cif.gz
2p7n,2p7n.cif.gz
4bte,4bte.cif.gz
2axp,2axp.cif.gz
3wwh,3wwh.cif.gz
2abx,2abx.cif.gz
1sux,1sux.cif.gz
4p0v,4p0v.cif.gz
4u7v,4u7v.cif.gz
1p7n,1p7n.cif.gz
3o6g,3o6g.cif.gz
5gnp,5gnp.cif.gz
5k6u,5k6u.cif.gz
2p27,2p27.cif.gz
2xx3,2xx3.cif.gz
3w7l,3w7l.cif.gz
1x8l,1x8l.cif.gz
3w75,3w75.cif.gz
4nom,4nom.cif.gz
3e8x,3e8x.cif.gz
2g0e,2g0e.cif.gz
3kws,3kws.cif.gz
1oyc,1oyc.cif.gz
1mzf,1mzf.cif.gz
4h08,4h08.cif.gz
2bu7,2bu7.cif.gz
3e3x,3e3x.cif.gz
4j4d,4j4d.cif.gz
5fwg,5fwg.cif.gz
3g7p,3g7p.cif.gz
2yip,2yip.cif.gz
2fxq,2fxq.cif.gz
1psa,1psa.cif.gz
2zi4,2zi4.cif.gz
4nda,4nda.cif.gz
6ejw,6ejw.cif.gz
5ipa,5ipa.cif.gz
1k8u,1k8u.cif.gz
4gqi,4gqi.cif.gz
1vij,1vij.cif.gz
5qhr,5qhr.cif.gz
2qjj,2qjj.cif.gz
5ng9,5ng9.cif.gz
6d9t,6d9t.cif.gz
3qkc,3qkc.cif.gz
2eb2,2eb2.cif.gz
6bkz,6bkz.cif.gz
1nye,1nye.cif.gz
4v29,4v29.cif.gz
1s7z,1s7z.cif.gz
